peasantLeisureAffinity,peasantKind,contractor,pesticidesAvailable,purpose,tools,daysToWorkForOther,peasantFamilyLandAlias,robberyAccount,rainfallConditions,peasantFriendsAffinity,assignedLands,Happiness/Sadness,farm,timeLeftOnDay,Hopeful/Uncertainty,seeds,newDay,currentSeason,cropSize,health,currentPeasantLeisureType,internalCurrentDate,waterAvailable,loanAmountToPay,peasantFamilyMinimalVital,money,currentDay,Secure/Insecure,currentActivity,peasantFamilyAffinity,toPay,harvestedWeight,peasantFamilyHelper,nombre_agente
0.36367746357005143,StablePeasant,,0,farmer,10,0,farm_1_small,0,normal,0.45459682946256424,"[{'farmName': 'farm_1_small', 'landName': 'land_9', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_small', 'landName': 'land_10', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9802,True,24,0,809,True,NONE,0,90,NONE,01/01/2023,1909,0,10000,1452226,352,0.88040024,NONE,0.6364355612475899,0,0,,PeasantFamily_2
0.39084004699133246,StablePeasant,,0,farmer,10,0,farm_5_small,0,normal,0.4885500587391655,"[{'farmName': 'farm_5_small', 'landName': 'land_8', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_5_small', 'landName': 'land_7', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9804,True,24,0,877,True,NONE,0,97,NONE,01/01/2023,1977,0,10000,1699620,359,0.9406001,NONE,0.6839700822348317,0,0,,PeasantFamily_4
0.42062594426973904,StablePeasant,,0,farmer,10,0,farm_7_small,0,normal,0.5257824303371738,"[{'farmName': 'farm_7_small', 'landName': 'land_25', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_7_small', 'landName': 'land_20', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9804,True,24,0,971,True,NONE,1,100,NONE,01/01/2023,41,0,10000,2263442,359,0.9406001,NONE,0.7360954024720432,0,0,,PeasantFamily_5
0.416135530985848,StablePeasant,,0,farmer,10,0,farm_6_small,0,normal,0.52016941373231,"[{'farmName': 'farm_6_small', 'landName': 'land_16', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_6_small', 'landName': 'land_17', 'elapsedWorkTime': 16, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9806,True,24,0,940,True,NONE,1,100,NONE,01/01/2023,60,0,10000,1045745,359,0.9406001,NONE,0.7282371792252339,0,0,,PeasantFamily_1
0.4161388975370486,StablePeasant,,0,farmer,10,0,farm_4_small,0,normal,0.5201736219213107,"[{'farmName': 'farm_4_small', 'landName': 'land_5', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_4_small', 'landName': 'land_6', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9806,True,24,0,940,True,NONE,1,100,NONE,01/01/2023,240,0,10000,1837763,352,0.9406001,NONE,0.7282430706898348,0,0,,PeasantFamily_3
0.38436096125706243,StablePeasant,,0,farmer,10,0,farm_6_small,0,normal,0.480451201571328,"[{'farmName': 'farm_6_small', 'landName': 'land_16', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_6_small', 'landName': 'land_17', 'elapsedWorkTime': 16, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9804,True,24,0,860,True,NONE,0,96,NONE,01/01/2023,1960,0,10000,952985,359,0.92040014,NONE,0.6726316821998591,0,0,,PeasantFamily_4
0.37496079945848987,StablePeasant,,0,farmer,10,0,farm_7_small,0,normal,0.4687009993231123,"[{'farmName': 'farm_7_small', 'landName': 'land_25', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_7_small', 'landName': 'land_20', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9806,True,24,0,857,True,NONE,0,93,NONE,01/01/2023,1937,0,10000,1640284,345,0.94020003,NONE,0.6561813990523572,0,0,,PeasantFamily_3
0.3613263229027178,StablePeasant,,0,farmer,10,0,farm_1_small,0,normal,0.45165790362839725,"[{'farmName': 'farm_1_small', 'landName': 'land_9', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_1_small', 'landName': 'land_10', 'elapsedWorkTime': 24, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9804,True,24,0,803,True,NONE,0,90,NONE,01/01/2023,1903,0,10000,1202294,359,0.94040006,NONE,0.6323210650797562,0,0,,PeasantFamily_2
0.4181535103635643,StablePeasant,,0,farmer,10,0,farm_2_small,0,normal,0.5226918879544553,"[{'farmName': 'farm_2_small', 'landName': 'land_12', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_2_small', 'landName': 'land_13', 'elapsedWorkTime': 8, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9802,True,24,0,945,True,NONE,1,100,NONE,01/01/2023,455,0,10000,2124844,338,0.9000002,NONE,0.7317686431362374,0,0,,PeasantFamily_1
0.4269912291574405,StablePeasant,,0,farmer,10,0,farm_5_small,0,normal,0.5337390364468005,"[{'farmName': 'farm_5_small', 'landName': 'land_8', 'elapsedWorkTime': 0, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}, {'farmName': 'farm_5_small', 'landName': 'land_7', 'elapsedWorkTime': 24, 'kind': 'land', 'currentSeason': 'NONE', 'processing': False, 'used': False, 'currentCropCareType': 'NONE', 'totalRequiredTime': 56}]",0.9804,True,24,0,967,True,NONE,1,100,NONE,01/01/2023,27,0,10000,1220451,352,0.90040016,NONE,0.7472346510255207,0,0,,PeasantFamily_5
